symbol	default_version
_Exit	LIBC
_Fork	LIBC_V
_Unwind_Backtrace	LIBC_R
_Unwind_DeleteException	LIBC_R
_Unwind_FindEnclosingFunction	LIBC_R
_Unwind_Find_FDE	LIBC_R
_Unwind_ForcedUnwind	LIBC_R
_Unwind_GetCFA	LIBC_R
_Unwind_GetDataRelBase	LIBC_R
_Unwind_GetGR	LIBC_R
_Unwind_GetIP	LIBC_R
_Unwind_GetIPInfo	LIBC_R
_Unwind_GetLanguageSpecificData	LIBC_R
_Unwind_GetRegionStart	LIBC_R
_Unwind_GetTextRelBase	LIBC_R
_Unwind_RaiseException	LIBC_R
_Unwind_Resume	LIBC_R
_Unwind_Resume_or_Rethrow	LIBC_R
_Unwind_SetGR	LIBC_R
_Unwind_SetIP	LIBC_R
__FD_CLR_chk	LIBC
__FD_ISSET_chk	LIBC
__FD_SET_chk	LIBC
__assert	LIBC
__assert2	LIBC
__b64_ntop	LIBC
__b64_pton	LIBC
__cmsg_nxthdr	LIBC
__ctype_get_mb_cur_max	LIBC
__cxa_atexit	LIBC
__cxa_finalize	LIBC
__cxa_thread_atexit_impl	LIBC
__deregister_frame	LIBC_R
__dn_comp	LIBC
__dn_count_labels	LIBC
__dn_skipname	LIBC
__errno	LIBC
__fbufsize	LIBC
__fgets_chk	LIBC
__flbf	LIBC
__fp_nquery	LIBC
__fp_query	LIBC
__fpclassify	LIBC
__fpclassifyd	LIBC
__fpclassifyf	LIBC
__fpclassifyl	LIBC
__fpending	LIBC
__fpurge	LIBC
__fread_chk	LIBC_N
__freadable	LIBC
__freadahead	LIBC_U
__freading	LIBC_P
__free_hook	LIBC_P
__fseterr	LIBC_P
__fsetlocking	LIBC
__fwritable	LIBC
__fwrite_chk	LIBC_N
__fwriting	LIBC_P
__get_h_errno	LIBC
__getcwd_chk	LIBC_N
__gnu_basename	LIBC
__gnu_strerror_r	LIBC
__hostalias	LIBC
__isfinite	LIBC
__isfinitef	LIBC
__isfinitel	LIBC
__isinf	LIBC
__isinff	LIBC
__isinfl	LIBC
__isnan	LIBC
__isnanf	LIBC
__isnanl	LIBC
__isnormal	LIBC
__isnormalf	LIBC
__isnormall	LIBC
__libc_current_sigrtmax	LIBC
__libc_current_sigrtmin	LIBC
__libc_get_static_tls_bounds	LIBC_S
__libc_init	LIBC
__libc_iterate_dynamic_tls	LIBC_S
__libc_register_dynamic_tls_listeners	LIBC_S
__libc_register_thread_exit_callback	LIBC_S
__loc_aton	LIBC
__loc_ntoa	LIBC
__malloc_hook	LIBC_P
__memalign_hook	LIBC_P
__memchr_chk	LIBC
__memcpy_chk	LIBC
__memmove_chk	LIBC
__mempcpy_chk	LIBC_R
__memrchr_chk	LIBC
__memset_chk	LIBC
__open_2	LIBC
__openat_2	LIBC
__p_cdname	LIBC
__p_cdnname	LIBC
__p_class	LIBC
__p_class_syms	LIBC
__p_fqname	LIBC
__p_fqnname	LIBC
__p_option	LIBC
__p_query	LIBC
__p_rcode	LIBC
__p_secstodate	LIBC
__p_time	LIBC
__p_type	LIBC
__p_type_syms	LIBC
__poll_chk	LIBC
__ppoll64_chk	LIBC
__ppoll_chk	LIBC
__pread64_chk	LIBC
__pread_chk	LIBC
__progname	LIBC
__pthread_cleanup_pop	LIBC
__pthread_cleanup_push	LIBC
__putlong	LIBC
__putshort	LIBC
__pwrite64_chk	LIBC_N
__pwrite_chk	LIBC_N
__read_chk	LIBC
__readlink_chk	LIBC
__readlinkat_chk	LIBC
__realloc_hook	LIBC_P
__recvfrom_chk	LIBC
__register_atfork	LIBC
__register_frame	LIBC_R
__res_close	LIBC
__res_dnok	LIBC
__res_hnok	LIBC
__res_hostalias	LIBC
__res_isourserver	LIBC
__res_mailok	LIBC
__res_nameinquery	LIBC
__res_nclose	LIBC
__res_ninit	LIBC
__res_nmkquery	LIBC
__res_nquery	LIBC
__res_nquerydomain	LIBC
__res_nsearch	LIBC
__res_nsend	LIBC
__res_ownok	LIBC
__res_queriesmatch	LIBC
__res_querydomain	LIBC
__res_randomid	LIBC_Q
__res_send	LIBC
__res_send_setqhook	LIBC
__res_send_setrhook	LIBC
__sF	LIBC
__sched_cpualloc	LIBC
__sched_cpucount	LIBC
__sched_cpufree	LIBC
__sendto_chk	LIBC_O
__snprintf_chk	LIBC
__sprintf_chk	LIBC
__stack_chk_fail	LIBC
__stack_chk_guard	LIBC
__stpcpy_chk	LIBC
__stpncpy_chk	LIBC
__stpncpy_chk2	LIBC
__strcat_chk	LIBC
__strchr_chk	LIBC
__strcpy_chk	LIBC
__strlcat_chk	LIBC
__strlcpy_chk	LIBC
