symbol	default_version
__android_log_assert	LIBLOG
__android_log_bswrite	LIBLOG_Q
__android_log_btwrite	LIBLOG_Q
__android_log_buf_print	LIBLOG
__android_log_buf_write	LIBLOG
__android_log_bwrite	LIBLOG_Q
__android_log_call_aborter	LIBLOG_R
__android_log_close	LIBLOG_Q
__android_log_default_aborter	LIBLOG_R
__android_log_error_write	LIBLOG_M
__android_log_get_minimum_priority	LIBLOG_R
__android_log_is_debuggable	LIBLOG_O
__android_log_is_loggable	LIBLOG_M
__android_log_is_loggable_len	LIBLOG_O
__android_log_logd_logger	LIBLOG_R
__android_log_logd_logger_with_timestamp	LIBLOG_37
__android_log_pmsg_file_read	LIBLOG_PRIVATE
__android_log_pmsg_file_write	LIBLOG_PRIVATE
__android_log_print	LIBLOG
__android_log_security	LIBLOG_Q
__android_log_security_bswrite	LIBLOG_R
__android_log_set_aborter	LIBLOG_R
__android_log_set_default_tag	LIBLOG_R
__android_log_set_logger	LIBLOG_R
__android_log_set_minimum_priority	LIBLOG_R
__android_log_stderr_logger	LIBLOG_R
__android_log_vprint	LIBLOG
__android_log_write	LIBLOG
__android_log_write_log_message	LIBLOG_R
android_log_destroy	LIBLOG_M
android_log_id_to_name	LIBLOG
android_log_parser_reset	LIBLOG_Q
android_log_processBinaryLogBuffer	LIBLOG_PRIVATE
android_log_processLogBuffer	LIBLOG_PRIVATE
android_log_read_next	LIBLOG_PRIVATE
android_log_reset	LIBLOG_Q
android_log_write_float32	LIBLOG_M
android_log_write_int32	LIBLOG_M
android_log_write_int64	LIBLOG_M
android_log_write_list	LIBLOG_M
android_log_write_list_begin	LIBLOG_M
android_log_write_list_buffer	LIBLOG_PRIVATE
android_log_write_list_end	LIBLOG_M
android_log_write_string8	LIBLOG_M
android_log_write_string8_len	LIBLOG_M
android_logger_clear	LIBLOG_L
android_logger_get_id	LIBLOG_L
android_logger_get_log_readable_size	LIBLOG_L
android_logger_get_log_size	LIBLOG_L
android_logger_get_log_version	LIBLOG_L
android_logger_get_prune_list	LIBLOG_M
android_logger_get_statistics	LIBLOG_M
android_logger_list_alloc	LIBLOG_L
android_logger_list_alloc_time	LIBLOG_L
android_logger_list_free	LIBLOG_L
android_logger_list_open	LIBLOG_L
android_logger_list_read	LIBLOG_L
android_logger_open	LIBLOG_L
android_logger_set_log_size	LIBLOG_L
android_logger_set_prune_list	LIBLOG_M
android_name_to_log_id	LIBLOG
android_openEventTagMap	LIBLOG_PRIVATE
create_android_log_parser	LIBLOG_PRIVATE
create_android_logger	LIBLOG_M
