symbol	default_version
__fe_dfl_env	LIBC
__signbit	LIBC
__signbitf	LIBC
__signbitl	LIBC
acos	LIBC
acosf	LIBC
acosh	LIBC
acoshf	LIBC
acoshl	LIBC
acosl	LIBC
asin	LIBC
asinf	LIBC
asinh	LIBC
asinhf	LIBC
asinhl	LIBC
asinl	LIBC
atan	LIBC
atan2	LIBC
atan2f	LIBC
atan2l	LIBC
atanf	LIBC
atanh	LIBC
atanhf	LIBC
atanhl	LIBC
atanl	LIBC
cabs	LIBC
cabsf	LIBC
cabsl	LIBC
cacos	LIBC
cacosf	LIBC
cacosh	LIBC
cacoshf	LIBC
cacoshl	LIBC_O
cacosl	LIBC_O
carg	LIBC
cargf	LIBC
cargl	LIBC
casin	LIBC
casinf	LIBC
casinh	LIBC
casinhf	LIBC
casinhl	LIBC_O
casinl	LIBC_O
catan	LIBC
catanf	LIBC
catanh	LIBC
catanhf	LIBC
catanhl	LIBC_O
catanl	LIBC_O
cbrt	LIBC
cbrtf	LIBC
cbrtl	LIBC
ccos	LIBC
ccosf	LIBC
ccosh	LIBC
ccoshf	LIBC
ccoshl	LIBC_O
ccosl	LIBC_O
ceil	LIBC
ceilf	LIBC
ceill	LIBC
cexp	LIBC
cexpf	LIBC
cexpl	LIBC_O
cimag	LIBC
cimagf	LIBC
cimagl	LIBC
clog	LIBC_O
clogf	LIBC_O
clogl	LIBC_O
conj	LIBC
conjf	LIBC
conjl	LIBC
copysign	LIBC
copysignf	LIBC
copysignl	LIBC
cos	LIBC
cosf	LIBC
cosh	LIBC
coshf	LIBC
coshl	LIBC
cosl	LIBC
cpow	LIBC_O
cpowf	LIBC_O
cpowl	LIBC_O
cproj	LIBC
cprojf	LIBC
cprojl	LIBC
creal	LIBC
crealf	LIBC
creall	LIBC
csin	LIBC
csinf	LIBC
csinh	LIBC
csinhf	LIBC
csinhl	LIBC_O
csinl	LIBC_O
csqrt	LIBC
csqrtf	LIBC
csqrtl	LIBC
ctan	LIBC
ctanf	LIBC
ctanh	LIBC
ctanhf	LIBC
ctanhl	LIBC_O
ctanl	LIBC_O
drem	LIBC
dremf	LIBC
erf	LIBC
erfc	LIBC
erfcf	LIBC
erfcl	LIBC
erff	LIBC
erfl	LIBC
exp	LIBC
exp2	LIBC
exp2f	LIBC
exp2l	LIBC
expf	LIBC
expl	LIBC
expm1	LIBC
expm1f	LIBC
expm1l	LIBC
fabs	LIBC
fabsf	LIBC
fabsl	LIBC
fdim	LIBC
fdimf	LIBC
fdiml	LIBC
feclearexcept	LIBC
fedisableexcept	LIBC
feenableexcept	LIBC
fegetenv	LIBC
fegetexcept	LIBC
fegetexceptflag	LIBC
fegetround	LIBC
feholdexcept	LIBC
feraiseexcept	LIBC
fesetenv	LIBC
fesetexceptflag	LIBC
fesetround	LIBC
fetestexcept	LIBC
feupdateenv	LIBC
finite	LIBC
finitef	LIBC
floor	LIBC
floorf	LIBC
floorl	LIBC
fma	LIBC
fmaf	LIBC
fmal	LIBC
fmax	LIBC
fmaxf	LIBC
fmaxl	LIBC
fmin	LIBC
fminf	LIBC
fminl	LIBC
fmod	LIBC
fmodf	LIBC
fmodl	LIBC
frexp	LIBC
frexpf	LIBC
frexpl	LIBC
gamma	LIBC
gamma_r	LIBC
gammaf	LIBC
gammaf_r	LIBC
hypot	LIBC
hypotf	LIBC
hypotl	LIBC
ilogb	LIBC
ilogbf	LIBC
ilogbl	LIBC
j0	LIBC
j0f	LIBC
j1	LIBC
j1f	LIBC
jn	LIBC
jnf	LIBC
ldexpf	LIBC
ldexpl	LIBC
lgamma	LIBC
lgamma_r	LIBC
lgammaf	LIBC
lgammaf_r	LIBC
lgammal	LIBC
lgammal_r	LIBC
llrint	LIBC
llrintf	LIBC
llrintl	LIBC
llround	LIBC
llroundf	LIBC
llroundl	LIBC
log	LIBC
log10	LIBC
log10f	LIBC
log10l	LIBC
log1p	LIBC
log1pf	LIBC
log1pl	LIBC
log2	LIBC
log2f	LIBC
log2l	LIBC
logb	LIBC
logbf	LIBC
logbl	LIBC
logf	LIBC
logl	LIBC
lrint	LIBC
lrintf	LIBC
lrintl	LIBC
lround	LIBC
lroundf	LIBC
lroundl	LIBC
modf	LIBC
modff	LIBC
modfl	LIBC
nan	LIBC
nanf	LIBC
nanl	LIBC
nearbyint	LIBC
nearbyintf	LIBC
nearbyintl	LIBC
nextafter	LIBC
nextafterf	LIBC
nextafterl	LIBC
nexttoward	LIBC
nexttowardf	LIBC
nexttowardl	LIBC
pow	LIBC
powf	LIBC
powl	LIBC
remainder	LIBC
remainderf	LIBC
remainderl	LIBC
remquo	LIBC
remquof	LIBC
remquol	LIBC
rint	LIBC
rintf	LIBC
rintl	LIBC
round	LIBC
roundf	LIBC
roundl	LIBC
scalb	LIBC
scalbf	LIBC
scalbln	LIBC
scalblnf	LIBC
scalblnl	LIBC
scalbn	LIBC
scalbnf	LIBC
scalbnl	LIBC
signgam	LIBC
significand	LIBC
significandf	LIBC
significandl	LIBC
sin	LIBC
sincos	LIBC
sincosf	LIBC
sincosl	LIBC
sinf	LIBC
sinh	LIBC
sinhf	LIBC
sinhl	LIBC
sinl	LIBC
sqrt	LIBC
sqrtf	LIBC
sqrtl	LIBC
tan	LIBC
tanf	LIBC
tanh	LIBC
tanhf	LIBC
tanhl	LIBC
tanl	LIBC
tgamma	LIBC
tgammaf	LIBC
tgammal	LIBC
trunc	LIBC
truncf	LIBC
truncl	LIBC
y0	LIBC
y0f	LIBC
y1	LIBC
y1f	LIBC
yn	LIBC
ynf	LIBC
